Designator,Mid X,Mid Y,Rotation,Layer
BT1,202.40625,-101.39375,270.0,bottom
C1,100.0125,-115.075,90.0,bottom
C10,111.91875,-76.975,270.0,top
C11,192.88125,-77.80625,90.0,top
C12,100.0125,-47.625,270.0,top
C13,102.39375,-66.675,0.0,top
C15,97.63125,-47.625,270.0,top
C16,97.63125,-52.3875,180.0,top
C2,100.7875,-117.45625,180.0,bottom
C3,100.0125,-111.91875,270.0,bottom
C4,130.96875,-85.725,0.0,bottom
C5,133.35,-95.25,270.0,bottom
C6,135.73125,-95.25,270.0,bottom
C7,138.1125,-95.25,270.0,bottom
C8,126.20625,-88.10625,90.0,bottom
C9,123.825,-88.10625,90.0,bottom
CAM_MODULE1,164.465,-58.42,270.0,bottom
D1,104.775,-111.91875,270.0,bottom
D2,97.63125,-97.63125,90.0,top
D3,124.6125,-57.15,0.0,top
D4,124.6125,-61.9125,0.0,top
D5,124.6125,-66.88375,0.0,top
DS1,160.0199,-64.74625,270.0,top
J2,88.10625,-97.63125,270.0,top
L1,129.96875,-95.25,180.0,bottom
M1,112.87125,-76.2,180.0,top
Q1,104.87625,-102.67125,270.0,top
R1,107.15625,-111.91875,90.0,bottom
R10,128.5875,-57.15,270.0,top
R11,128.5875,-61.9125,270.0,top
R12,128.5875,-66.675,270.0,top
R14,100.0125,-50.00625,180.0,top
R15,95.25,-83.34375,90.0,top
R16,107.15625,-109.5375,0.0,bottom
R17,150.01875,-114.3,270.0,top
R2,195.2625,-111.91875,270.0,top
R3,95.25,-97.63125,0.0,top
R4,95.25,-100.0125,270.0,top
R5,135.73125,-90.4875,90.0,bottom
R6,140.49375,-92.86875,0.0,bottom
R7,142.875,-97.63125,90.0,bottom
R8,105.6,-92.86875,180.0,top
R9,204.7875,-79.40625,270.0,top
SW2,99.9725,-73.94125,270.0,top
SW3,99.8425,-88.20875,270.0,top
SW4,185.52125,-109.22,270.0,top
SW5,140.2775,-109.22,270.0,top
U1,111.91875,-55.1375,0.0,top
U2,161.925,-102.5525,180.0,top
U3,164.94125,-79.71825,180.0,bottom
U4,102.39375,-111.91875,90.0,bottom
U5,129.96875,-90.2125,270.0,bottom
U6,198.59625,-72.23125,0.0,top
U7,119.5525,-90.3075,270.0,top
U8,119.4175,-114.12,270.0,top
